Loss Type,Beta,Pearson Correlation,Spearman Correlation,Cosine,Entropy,Active Neurons
Beta,1,0.6218641180297645,0.9882150262946086,0.7259838382403055,0.10065158,1.0077208654350331
Beta,1,0.6527002932557,0.9913205426828258,0.8494664430618286,0.06918317,1.004047397609452
Beta,1,0.37202402713751476,0.9873329551644948,0.7720484932263693,0.2556574,1.0367354437210798
Beta,1,0.42322865645629576,0.987348091111158,0.7013449271519979,0.19832687,1.0347777662957987
Beta,1,0.5366469077018184,0.9883241020500488,0.8463836113611857,0.44357398,1.090320691674417
TC,1,0.6816364204722856,0.9844124804716436,0.7664602994918823,0.46058735,1.1028685810953043
TC,1,0.6456934702951797,0.9894922507058507,0.7876831690470377,0.17060494,1.0145794342446197
TC,1,0.730864189108634,0.9874647088338744,0.8481007615725199,0.13377504,1.0180305344095775
TC,1,0.7867955175527754,0.9917637894862606,0.9139158924420675,0.070312396,1.0044584524588658
TC,1,0.6193528759386409,0.9868610843337619,0.8476815819740295,0.33326608,1.0598142215792314
Beta,1,0.6138543659792995,0.9867567837922785,0.7144471208254496,0.087445855,1.0065447280493265
Beta,1,0.7180223977636638,0.993005243980782,0.8293833136558533,0.08412696,1.004073040695961
Beta,1,0.2791821587588723,0.9838008604735288,0.6268408099810282,0.71308684,1.2700634187975306
Beta,1,0.2502877319441244,0.9831044928179461,0.6177055637041727,0.7035601,1.2662295859981092
TC,1,0.273936132358877,0.9843905896077155,0.6383671959241232,0.7162964,1.2694158351800182
TC,1,0.2727836077091519,0.9834168113602594,0.6234598557154337,0.70468223,1.2656880193203435
Entropy,1,0.5181361118422508,0.9875579334826918,0.8222814997037252,0.06620952,1.0042586660236759
Entropy,1,0.3845375725335541,0.9858772855781162,0.7299699584643046,0.21993111,1.0295825535155907
Beta,1,0.41622404000086605,0.9876055623324328,0.7271454334259033,0.45133278,1.2554591069316707
Beta,1,0.33325465730781617,0.9845868289402899,0.6246259212493896,0.7374758,1.2851729377408823
TC,1,0.31293090491366415,0.9851392027261694,0.6251845955848694,0.74107724,1.282532082563084
TC,1,0.30581528415744713,0.9844225972861279,0.6129318475723267,0.723219,1.274428101760953
